"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.979854560E-1,-4.937035441E-1,3.204054594E0,9.199078560E0,9.753602175E0
3.999885810E-1,-5.088923573E-1,3.206161737E0,9.224906921E0,9.779435169E0
4.019854560E-1,-5.369332433E-1,3.188329697E0,9.245267868E0,9.794320881E0
4.039854560E-1,-5.542864203E-1,3.179834843E0,9.254978180E0,9.801693944E0
4.059854560E-1,-5.702413917E-1,3.185245752E0,9.283047676E0,9.830866691E0
4.079854560E-1,-6.210176349E-1,3.163784504E0,9.324304581E0,9.865994689E0
4.099854560E-1,-6.610582471E-1,3.144783974E0,9.353120804E0,9.889769108E0
4.119854560E-1,-7.221391201E-1,3.109522104E0,9.367322922E0,9.896330196E0
4.139870180E-1,-8.048827648E-1,3.067575693E0,9.344320297E0,9.867835564E0
4.159901430E-1,-8.819472790E-1,3.023972511E0,9.330845833E0,9.848193982E0
4.179854560E-1,-9.441869259E-1,2.965496540E0,9.306309700E0,9.812902675E0
4.199854560E-1,-1.010650039E0,2.900881767E0,9.254480362E0,9.750996631E0
4.219854560E-1,-1.066358328E0,2.845939636E0,9.224935532E0,9.712668431E0
4.239854560E-1,-1.085138440E0,2.792127609E0,9.201711655E0,9.677034639E0
4.259854560E-1,-1.068168283E0,2.740738630E0,9.177913666E0,9.637776246E0
4.279854560E-1,-1.017851710E0,2.726488352E0,9.162543297E0,9.613634094E0
4.299854560E-1,-9.750051498E-1,2.717505217E0,9.162505150E0,9.606610758E0
4.319854560E-1,-9.387856722E-1,2.716451645E0,9.161566734E0,9.601808845E0
4.340307680E-1,-8.718628883E-1,2.722561836E0,9.148397446E0,9.584657723E0
4.359963930E-1,-7.920689583E-1,2.745977163E0,9.141119003E0,9.577464197E0
4.379854560E-1,-7.425281405E-1,2.759748459E0,9.137518883E0,9.574017492E0
4.399854560E-1,-6.738240719E-1,2.770426512E0,9.121947289E0,9.557155658E0
4.419854560E-1,-6.079069972E-1,2.782225132E0,9.107964516E0,9.542816420E0
4.439854560E-1,-5.589311719E-1,2.781746387E0,9.096289635E0,9.528536201E0
4.459854560E-1,-4.978981912E-1,2.798649311E0,9.078880310E0,9.513485600E0
4.479870180E-1,-4.359458387E-1,2.804136992E0,9.064715385E0,9.498541891E0
4.499854560E-1,-3.988931477E-1,2.785289764E0,9.060137749E0,9.486993773E0
4.519854560E-1,-3.553665876E-1,2.759949446E0,9.071467400E0,9.488684163E0
4.539854560E-1,-3.242993951E-1,2.745048046E0,9.091071129E0,9.502001534E0
4.559854560E-1,-2.886928320E-1,2.739608288E0,9.124580383E0,9.531356897E0
4.579979560E-1,-2.610445917E-1,2.722370148E0,9.152640343E0,9.552500654E0
4.599854560E-1,-2.238770127E-1,2.715417385E0,9.185766220E0,9.581331512E0
4.619854560E-1,-1.874468327E-1,2.699654102E0,9.221919060E0,9.610778310E0
4.639870180E-1,-1.527692229E-1,2.694597483E0,9.237979889E0,9.624160559E0
4.659901430E-1,-1.447151303E-1,2.698045254E0,9.235547066E0,9.622667004E0
4.679854560E-1,-1.493886113E-1,2.704222202E0,9.225519180E0,9.614849912E0
4.699854560E-1,-1.405875236E-1,2.706194878E0,9.247872353E0,9.636721362E0
4.719854560E-1,-1.420719326E-1,2.701712847E0,9.270780563E0,9.657474255E0
4.739854560E-1,-1.451556534E-1,2.708062410E0,9.303619385E0,9.690820700E0
4.759854560E-1,-1.608424634E-1,2.722111464E0,9.304098129E0,9.695463017E0
4.779854560E-1,-1.523669958E-1,2.748160362E0,9.295287132E0,9.694223226E0
4.799854560E-1,-1.456345022E-1,2.758599043E0,9.300497055E0,9.702078311E0
4.819854560E-1,-1.542536318E-1,2.772600651E0,9.328087807E0,9.732642533E0
4.839854560E-1,-1.779849529E-1,2.783221245E0,9.374640465E0,9.780689290E0
4.859854560E-1,-2.175084352E-1,2.781257868E0,9.417746544E0,9.822253062E0
4.879854560E-1,-2.459132373E-1,2.794291973E0,9.407114983E0,9.816432817E0
4.899854560E-1,-2.401192784E-1,2.797183990E0,9.410553932E0,9.820408385E0
4.919854560E-1,-2.464974374E-1,2.810361862E0,9.409663200E0,9.823474758E0
4.939854560E-1,-2.382230610E-1,2.804041147E0,9.421527863E0,9.832831955E0
4.959854560E-1,-2.319119573E-1,2.805094481E0,9.437339783E0,9.848132837E0
4.980260810E-1,-2.425709367E-1,2.796293497E0,9.429611206E0,9.838478819E0
5.000042060E-1,-2.622895837E-1,2.798151255E0,9.374659538E0,9.786863018E0
5.019932680E-1,-2.742031217E-1,2.796456337E0,9.338056564E0,9.751648876E0
5.039854560E-1,-2.853888571E-1,2.784408808E0,9.314239502E0,9.725710088E0
5.059854560E-1,-2.972832322E-1,2.777388811E0,9.314249039E0,9.724068134E0
5.079948310E-1,-2.992177308E-1,2.756827354E0,9.309086800E0,9.713327203E0
5.099854560E-1,-3.028760850E-1,2.734704971E0,9.325559616E0,9.722983460E0
5.119854560E-1,-3.094074726E-1,2.718453169E0,9.341935158E0,9.734345027E0
5.139917060E-1,-3.423899710E-1,2.714325666E0,9.316356659E0,9.709752629E0
5.159854560E-1,-3.697509468E-1,2.701463938E0,9.323174477E0,9.713712240E0
5.179854560E-1,-4.040071666E-1,2.671871662E0,9.300515175E0,9.685127902E0
5.199854560E-1,-4.614297152E-1,2.622292519E0,9.271077156E0,9.645838847E0
5.219854560E-1,-5.247228146E-1,2.584751368E0,9.261087418E0,9.629330912E0
5.239885810E-1,-5.842331052E-1,2.543092251E0,9.257803917E0,9.618501956E0
5.259870180E-1,-6.451224089E-1,2.488830090E0,9.254719734E0,9.605222303E0
