t_s,vx,vy,vz
0.20710199999999998,2.102604100719424,-0.017955587529976013,-0.0023884772182253757
0.212107,2.1514298561151075,-0.01602320143884891,-0.002094418465227773
0.21711199999999997,2.200591678657074,-0.014354868105515582,-0.003072613908872854
0.22211699999999998,2.250047559952038,-0.012974592326139081,-0.005473093525179813
0.227122,2.2998755155875297,-0.011918381294964019,-0.009277853717026342
0.23212699999999997,2.35047762589928,-0.011468291366906467,-0.014270851318944788
0.23713199999999998,2.4021959592326136,-0.011750347721822535,-0.02018803357314144
0.242137,2.455132535971223,-0.012770551558752993,-0.026681330935251765
0.24714199999999997,2.5094013788968823,-0.014390875299760181,-0.03375074340527572
0.25214699999999995,2.5651465167865704,-0.01655130695443643,-0.04149829136690639
0.25715199999999994,2.622217919664268,-0.019155827338129466,-0.04966592326139077
0.2621569999999999,2.6801594964028768,-0.02179035371702634,-0.058199628297361965
0.26716199999999996,2.7387732074340523,-0.024250845323740985,-0.06721342925659464
0.27216699999999994,2.7981310671462825,-0.02649529376498798,-0.0766173081534771
0.2771719999999999,2.8581010491606706,-0.028187631894484377,-0.08633925059952023
0.28217699999999996,2.9185631294964027,-0.029273848920863283,-0.09630724220623493
0.28718199999999994,2.9794993045563545,-0.030096013189448413,-0.10606519184652266
0.2921869999999999,3.04085556354916,-0.030936181055155845,-0.11498297362110296
0.29719199999999996,3.1023978597122297,-0.03180035371702636,-0.1226945143884891
0.30219699999999994,3.163688105515587,-0.032544502398081515,-0.12902577937649867
0.3072019999999999,3.2242222002398075,-0.03292257793764986,-0.13373672062350106
0.31220699999999996,3.283478039568345,-0.03270053357314147,-0.13672531774580324
0.31721199999999994,3.3412275779376497,-0.03185436450839327,-0.13832763788968813
0.3222169999999999,3.3974348081534766,-0.030312056354916055,-0.13900577338129486
0.32722199999999996,3.4522017505995204,-0.028091612709832105,-0.13892775779376487
0.33222699999999994,3.505738447242206,-0.025403075539568325,-0.13818961031175048
0.3372319999999999,3.5581769244604313,-0.022468489208633084,-0.1369533633093524
0.34223699999999996,3.6096492086330936,-0.019305857314148647,-0.13535704436450827
0.34724199999999994,3.660017272182254,-0.015717140287769764,-0.13341865707434042
0.3522469999999999,3.7093231235011985,-0.011972392086330929,-0.13077812949640277
0.35725199999999996,3.758190887290168,-0.008497697841726586,-0.12723742206234998
0.36225699999999994,3.807202679856115,-0.0052990587529975815,-0.12309059352517973
0.3672619999999999,3.85674257793765,-0.0027245443645083824,-0.11856568944844113
0.37226699999999996,3.9071226438848923,-0.0011522302158273156,-0.11375872901678642
0.37727199999999994,3.9584749040767386,-0.0003420683453237215,-0.10892176258992793
