c1,c2,c3
1677,780,1762
692,666,1061
690,47,107
1891,395,420
2878,1087,2823
3345,695,3620
4111,-10,2144
4088,198,1102
4042,572,1434
4026,335,1503
5430,533,-750
7477,380,-577
6680,1210,886
5371,1506,1011
5219,583,1728
5545,-57,1483
4790,653,-908
3761,579,327
3550,-130,1040
3632,328,-132
3143,752,2584
3138,751,4182
2460,1049,2095
2688,627,1497
2395,1025,1402
1397,1184,1705
2577,438,1364
4476,161,848
4836,370,1081
4307,658,2229
4787,648,3195
5029,721,2708
5728,698,466
5211,728,485
4257,827,623
4137,785,-121
5276,164,433
6099,352,824
5428,1150,1137
3663,1080,2342
2994,234,1466
2844,43,530
3400,334,438
3389,1237,1408
1954,1822,2006
1695,725,2267
1810,-97,2288
2123,704,1520
2378,1732,1311
2553,1103,1990
2558,502,1769
3082,677,2230
3841,1550,3165
4730,1953,2827
4593,1777,1856
5236,863,453
5435,980,-242
5912,1129,1586
6414,1131,1939
7547,710,346
7193,594,308
5427,1343,1193
5094,1340,2139
4730,1255,2022
3989,1192,585
3544,1294,189
2966,1208,882
2511,954,617
2659,527,1397
3656,639,1557
2929,1626,2157
1935,1605,2864
1824,738,2117
1728,1135,472
1883,1643,258
2617,1370,595
2835,1216,1292
2860,1177,2042
3968,780,2055
4235,975,2609
3866,938,2430
3254,711,1195
3479,909,-611
4433,1118,-193
3620,1242,2417
4897,527,1493
5314,480,626
5540,233,1441
4605,1129,1371
3996,1340,2094
4426,806,1408
4397,805,-427
3999,553,-461
3227,549,1201
3353,874,2602
3848,988,2513
5068,422,1087
4183,883,1179
2700,1405,2427
2768,1009,1684
3833,696,797
6229,293,872
4892,956,2645
3509,1306,3315
4268,330,2785
4705,-121,1426
5991,163,-843
5759,761,101
4692,933,2306
5243,768,1975
5217,349,2627
5667,-334,2145
5236,349,-476
3243,1161,1163
3260,294,1786
2483,159,645
3970,7,488
4502,730,1196
3238,1159,1479
2432,-70,1706
2184,-364,1539
2275,281,1450
2641,641,505
2462,89,837
1593,-91,2052
2103,-275,2134
2161,571,2382
2744,295,2067
3740,84,122
3009,626,1247
3034,440,1914
3406,-284,2082
3916,363,743
4228,709,1268
4092,290,1375
3592,75,821
4160,-482,2129
4733,150,1123
4523,1019,614
4983,-131,2190
3661,-234,1706
3080,-166,1087
3736,-365,538
4054,238,-669
3836,345,869
