center_x,center_y,left_x,left_y,right_x,right_y
-107.41523871859465,70.59257241896363,-111.4140118910697,70.49351125051831,-103.4164655461196,70.69163358740894
-107.41523871859465,71.82738301926783,-111.4140118910697,71.72832185082251,-103.4164655461196,71.92644418771314
-107.41523871859465,73.06219361878239,-111.41496693626593,73.01556546458127,-103.41551050092338,73.1088217729835
-107.41523871859465,73.98830156881313,-111.41497475615532,74.03425404250635,-103.41550268103398,73.94234909511991
-107.41523871859465,75.22311216911734,-111.4140493325301,75.32065023285254,-103.4164281046592,75.12557410538214
-107.41523871859465,76.14922011914808,-111.4140493325302,76.24675818287945,-103.4164281046591,76.05168205541672
-107.41523871859465,77.38403071945228,-111.41229928594963,77.5373500623151,-103.41817815123967,77.23071137658947
-107.41523871859465,78.61884131896684,-111.40906357610162,78.84101919266152,-103.42141386108769,78.39666344527217
-107.17052010001947,78.61884131896684,-111.15938088762458,78.91715259449354,-103.18165931241437,78.32053004344014
-107.17052010001947,79.5449492689976,-111.15254338220063,79.92375077396707,-103.18849681783831,79.16614776402812
-107.17052010001947,80.7797598693018,-111.14292881229231,81.248768422165,-103.19811138774664,80.3107513164386
-106.9258014814443,80.7797598693018,-110.88488908965088,81.35039575193188,-102.96671387323771,80.20912398667171
-106.9258014814443,81.70586781933254,-110.86365250704787,82.4082418650894,-102.98795045584072,81.00349377357568
-106.68108286286912,81.70586781933254,-110.61578452456423,82.4256753168301,-102.746381201174,80.98606032183498
-106.68108286286912,82.9406784188471,-110.61578452456423,83.6604859163447,-102.746381201174,82.2208709213495
-106.43636424429394,82.9406784188471,-110.34277524780778,83.80088366855554,-102.5299532407801,82.08047316913866
-106.43636424429394,84.17548901915131,-110.34277524779495,85.03569426891806,-102.52995324079293,83.31528376938456
-106.1916456256405,84.17548901915131,-110.09805662914151,85.03569426891806,-102.2852346221395,83.31528376938456
-106.1916456256405,85.10159696918205,-110.09805662914148,85.96180221894892,-102.28523462213953,84.24139171941519
-105.94692700706533,85.10159696918205,-109.85333801057915,85.96180221889058,-102.0405160035515,84.24139171947353
-105.94692700706533,86.33640756869661,-109.83450576714384,87.27807172548843,-102.05934824698681,85.3947434119048
-105.70220838849015,86.33640756869661,-109.56217667826927,87.38552376907657,-101.84224009871103,85.28729136831666
-105.70220838849015,87.26251551872735,-109.55427649249305,88.34027770127209,-101.85014028448725,86.18475333618262
-105.45748976991497,87.26251551872735,-109.31745805970824,88.31163171905521,-101.5975214801217,86.2133993183995
-105.45748976991497,88.49732611903157,-109.32475202901338,89.51922759146082,-101.59022751081656,87.47542464660232
-104.96805253268636,88.49732611903157,-108.82802082249904,89.54644231928802,-101.10808424287367,87.44820991877512
-104.96805253268636,89.42343406906231,-108.79607227119608,90.58372062055724,-101.14003279417663,88.26314751756738
-104.72333391411118,89.42343406906231,-108.53623468828496,90.63247818997142,-100.9104331399374,88.2143899481532
-104.72333391411118,90.65824466936651,-108.54581274063838,91.8366569998991,-100.90085508758398,89.47983233883392
-104.478615295536,90.65824466936651,-108.29151606968436,91.86728879035584,-100.66571452138764,89.44920054837718
-104.478615295536,91.58435261939727,-108.30663503399727,92.74463917105203,-100.65059555707474,90.4240660677425
-103.98917805830739,91.58435261939727,-107.84914634810066,92.63346881972515,-100.12920976851412,90.53523641906938
-103.98917805830739,92.81916321891183,-107.83471443430024,93.92000379815833,-100.14364168231454,91.71832263966532
-103.74445943973221,92.81916321891183,-107.55736021388057,94.02820733990116,-99.93155866558385,91.61011909792249
-103.74445943973221,93.74527116894257,-107.52020483722602,95.06578118151512,-99.9687140422384,92.42476115637001
-103.49974082115703,93.74527116894257,-107.26041520382704,95.1081094526467,-99.73906643848703,92.38243288523843
-103.49974082115703,94.98008176924677,-107.29791030245666,96.23463690606783,-99.70157133985741,93.7255266324257
