GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 
Fri Jun 24 20:04:09 GMT+02:00 2022,24-Jun-2022 20:04:10.564,-5.789693670743612,37.18980906947109,6.218583106994629,3.935553550720215,91.97189063578844,145.6403045654297,0.37139812,5.7411809,7.97223186,-0.01818228,
Fri Jun 24 20:04:10 GMT+02:00 2022,24-Jun-2022 20:04:11.564,-5.789660888357331,37.189762581728985,5.648859024047852,3.8411450386047363,92.16491965204477,147.1862030029297,0.11450988,6.62202692,8.54097939,0.12073201,
Fri Jun 24 20:04:11 GMT+02:00 2022,24-Jun-2022 20:04:12.564,-5.789627935469615,37.189720725433304,5.278537750244141,3.757861614227295,92.22009079810232,147.37181091308594,0.32316935,5.43139029,7.19181776,-0.08285931,
Fri Jun 24 20:04:12 GMT+02:00 2022,24-Jun-2022 20:04:13.563,-5.789598260131755,37.18968122241997,5.120866775512695,3.664475202560425,92.38135820254683,146.5538330078125,-0.36552757,5.4022193,7.13814926,-0.06770802,
Fri Jun 24 20:04:13 GMT+02:00 2022,24-Jun-2022 20:04:14.563,-5.789568095914343,37.18964533103585,4.592381954193115,3.6852707862854004,92.53657736536115,146.1779022216797,-0.75312006,5.47640133,7.75254011,-0.01040304,
Fri Jun 24 20:04:14 GMT+02:00 2022,24-Jun-2022 20:04:15.563,-5.789542104842196,37.189614037124706,3.938023805618286,3.8019771575927734,92.76409539114684,147.59254455566406,0.06681738,6.17134237,7.12714577,-0.01994556,
Fri Jun 24 20:04:15 GMT+02:00 2022,24-Jun-2022 20:04:16.563,-5.789518443070064,37.18958539718448,3.6190805435180664,3.784848690032959,92.73226277343929,146.89205932617188,-0.05394615,6.46482325,8.44168758,0.10288554,
Fri Jun 24 20:04:16 GMT+02:00 2022,24-Jun-2022 20:04:17.564,-5.789498224045357,37.18955862095782,3.1399776935577393,3.7106807231903076,92.7406489700079,150.1128387451172,0.28424922,7.51285172,7.42138386,0.0958727,
Fri Jun 24 20:04:17 GMT+02:00 2022,24-Jun-2022 20:04:18.564,-5.789481055469324,37.18952965458382,3.6031579971313477,3.6963565349578857,92.98204084578902,157.77447509765625,0.64643443,7.3433423,7.92825556,0.12255603,
Fri Jun 24 20:04:18 GMT+02:00 2022,24-Jun-2022 20:04:19.563,-5.789467323008851,37.18949089366824,5.144902229309082,3.709449052810669,93.11181531753391,163.13670349121094,0.21246146,6.4748311,6.77651024,-0.06800998,
Fri Jun 24 20:04:19 GMT+02:00 2022,24-Jun-2022 20:04:20.563,-5.789451783169354,37.18944497658411,5.533736705780029,3.6566362380981445,93.21612601075321,166.41603088378906,-1.24866235,6.14456558,7.59636116,0.02353801,
Fri Jun 24 20:04:20 GMT+02:00 2022,24-Jun-2022 20:04:21.564,-5.789435856291838,37.189394596207705,5.2549848556518555,3.606923818588257,93.26707845460624,163.3595428466797,-2.97712278,5.25289726,7.45566845,-0.0030272,
Fri Jun 24 20:04:21 GMT+02:00 2022,24-Jun-2022 20:04:22.564,-5.78941197355067,37.1893529166528,4.785696506500244,3.68546199798584,93.43805328663439,148.94403076171875,-2.81555247,6.56109905,7.42168045,0.06878418,
Fri Jun 24 20:04:22 GMT+02:00 2022,24-Jun-2022 20:04:23.563,-5.789374948252771,37.1893230771983,4.586823463439941,3.919185161590576,93.56178920716047,119.66126251220703,-3.67548275,5.57153702,8.1801157,0.09522027,
